theta(град)   d_times   d_db
24.132066   0.153671   -8.134085
24.222111   0.154894   -8.099658
24.312156   0.156122   -8.065348
24.402201   0.157356   -8.031155
24.492246   0.158596   -7.997076
24.582291   0.159841   -7.963111
24.672336   0.161092   -7.929261
24.762381   0.162348   -7.895523
24.852426   0.163610   -7.861896
24.942471   0.164878   -7.828381
25.032516   0.166151   -7.794977
25.122561   0.167429   -7.761682
25.212606   0.168714   -7.728496
25.302651   0.170004   -7.695418
25.392696   0.171299   -7.662447
25.482741   0.172600   -7.629584
25.572786   0.173907   -7.596826
25.662831   0.175220   -7.564173
25.752876   0.176538   -7.531625
25.842922   0.177862   -7.499180
25.932967   0.179191   -7.466839
26.023012   0.180526   -7.434600
26.113057   0.181867   -7.402463
26.203102   0.183213   -7.370427
26.293147   0.184566   -7.338492
26.383192   0.185924   -7.306656
26.473237   0.187287   -7.274920
26.563282   0.188657   -7.243282
26.653327   0.190032   -7.211741
26.743372   0.191412   -7.180299
26.833417   0.192799   -7.148952
26.923462   0.194191   -7.117702
27.013507   0.195589   -7.086547
27.103552   0.196993   -7.055487
27.193597   0.198403   -7.024521
27.283642   0.199818   -6.993649
27.373687   0.201239   -6.962870
27.463732   0.202666   -6.932184
27.553777   0.204099   -6.901589
27.643822   0.205538   -6.871086
27.733867   0.206982   -6.840673
27.823912   0.208432   -6.810351
27.913957   0.209888   -6.780119
28.004002   0.211350   -6.749976
28.094047   0.212818   -6.719921
28.184092   0.214291   -6.689955
28.274137   0.215771   -6.660076
28.364182   0.217256   -6.630284
28.454227   0.218747   -6.600579
28.544272   0.220244   -6.570960
28.634317   0.221747   -6.541427
28.724362   0.223255   -6.511979
28.814407   0.224770   -6.482615
28.904452   0.226291   -6.453336
28.994497   0.227817   -6.424140
29.084542   0.229349   -6.395027
29.174587   0.230887   -6.365997
29.264632   0.232432   -6.337050
29.354677   0.233982   -6.308184
29.444722   0.235537   -6.279400
29.534767   0.237099   -6.250696
29.624812   0.238667   -6.222073
29.714857   0.240241   -6.193530
29.804902   0.241821   -6.165067
29.894948   0.243406   -6.136682
29.984993   0.244998   -6.108377
30.075038   0.246595   -6.080150
30.165083   0.248199   -6.052000
30.255128   0.249808   -6.023929
30.345173   0.251424   -5.995934
30.435218   0.253045   -5.968016
30.525263   0.254673   -5.940174
30.615308   0.256306   -5.912408
30.705353   0.257946   -5.884718
30.795398   0.259591   -5.857103
30.885443   0.261242   -5.829562
30.975488   0.262900   -5.802096
31.065533   0.264563   -5.774704
31.155578   0.266233   -5.747386
31.245623   0.267908   -5.720140
31.335668   0.269590   -5.692968
31.425713   0.271277   -5.665868
31.515758   0.272971   -5.638840
31.605803   0.274670   -5.611884
31.695848   0.276376   -5.584999
31.785893   0.278087   -5.558186
31.875938   0.279805   -5.531443
31.965983   0.281529   -5.504771
32.056028   0.283259   -5.478168
32.146073   0.284994   -5.451636
32.236118   0.286736   -5.425173
32.326163   0.288484   -5.398779
32.416208   0.290238   -5.372453
32.506253   0.291998   -5.346197
32.596298   0.293764   -5.320008
32.686343   0.295537   -5.293887
32.776388   0.297315   -5.267834
32.866433   0.299099   -5.241847
32.956478   0.300890   -5.215928
33.046523   0.302686   -5.190075
33.136568   0.304489   -5.164289
33.226613   0.306297   -5.138569
33.316658   0.308112   -5.112914
33.406703   0.309933   -5.087324
33.496748   0.311760   -5.061800
33.586793   0.313593   -5.036341
33.676838   0.315432   -5.010946
33.766883   0.317277   -4.985615
33.856928   0.319128   -4.960349
33.946974   0.320985   -4.935146
34.037019   0.322849   -4.910006
34.127064   0.324718   -4.884930
34.217109   0.326594   -4.859917
34.307154   0.328476   -4.834966
34.397199   0.330364   -4.810078
34.487244   0.332258   -4.785252
34.577289   0.334158   -4.760488
34.667334   0.336064   -4.735785
34.757379   0.337976   -4.711144
34.847424   0.339894   -4.686563
34.937469   0.341819   -4.662044
35.027514   0.343749   -4.637586
35.117559   0.345686   -4.613187
35.207604   0.347628   -4.588849
35.297649   0.349577   -4.564571
35.387694   0.351532   -4.540352
35.477739   0.353493   -4.516193
35.567784   0.355460   -4.492094
35.657829   0.357433   -4.468053
35.747874   0.359412   -4.444071
35.837919   0.361398   -4.420147
35.927964   0.363389   -4.396282
36.018009   0.365387   -4.372475
36.108054   0.367390   -4.348725
36.198099   0.369400   -4.325034
36.288144   0.371416   -4.301400
36.378189   0.373437   -4.277823
36.468234   0.375465   -4.254303
36.558279   0.377499   -4.230840
36.648324   0.379539   -4.207433
36.738369   0.381585   -4.184083
36.828414   0.383637   -4.160790
36.918459   0.385696   -4.137552
37.008504   0.387760   -4.114370
37.098549   0.389830   -4.091243
37.188594   0.391907   -4.068173
37.278639   0.393989   -4.045157
37.368684   0.396078   -4.022196
37.458729   0.398172   -3.999290
37.548774   0.400273   -3.976439
37.638819   0.402379   -3.953643
37.728864   0.404492   -3.930900
37.818909   0.406611   -3.908212
37.908955   0.408735   -3.885578
37.999000   0.410866   -3.862997
38.089045   0.413003   -3.840470
38.179090   0.415146   -3.817997
38.269135   0.417294   -3.795576
38.359180   0.419449   -3.773209
38.449225   0.421610   -3.750895
38.539270   0.423776   -3.728633
38.629315   0.425949   -3.706424
38.719360   0.428128   -3.684267
38.809405   0.430312   -3.662163
38.899450   0.432503   -3.640110
38.989495   0.434699   -3.618110
39.079540   0.436902   -3.596161
39.169585   0.439110   -3.574264
39.259630   0.441325   -3.552418
39.349675   0.443545   -3.530624
39.439720   0.445771   -3.508880
39.529765   0.448003   -3.487188
39.619810   0.450241   -3.465546
39.709855   0.452485   -3.443955
39.799900   0.454735   -3.422415
39.889945   0.456991   -3.400925
39.979990   0.459252   -3.379485
40.070035   0.461520   -3.358096
40.160080   0.463793   -3.336756
40.250125   0.466072   -3.315466
40.340170   0.468357   -3.294226
40.430215   0.470648   -3.273035
40.520260   0.472945   -3.251894
40.610305   0.475248   -3.230801
40.700350   0.477556   -3.209758
40.790395   0.479870   -3.188764
40.880440   0.482190   -3.167819
40.970485   0.484516   -3.146923
41.060530   0.486847   -3.126075
41.150575   0.489184   -3.105276
41.240620   0.491527   -3.084525
41.330665   0.493876   -3.063822
41.420710   0.496230   -3.043167
41.510755   0.498590   -3.022560
41.600800   0.500956   -3.002001
41.690845   0.503328   -2.981490
41.780890   0.505705   -2.961027
41.870935   0.508088   -2.940610
41.960981   0.510477   -2.920242
42.051026   0.512871   -2.899920
42.141071   0.515271   -2.879646
42.231116   0.517676   -2.859418
42.321161   0.520087   -2.839238
42.411206   0.522504   -2.819104
42.501251   0.524926   -2.799017
42.591296   0.527354   -2.778977
42.681341   0.529788   -2.758983
42.771386   0.532227   -2.739035
42.861431   0.534671   -2.719134
42.951476   0.537121   -2.699278
43.041521   0.539577   -2.679469
43.131566   0.542038   -2.659706
43.221611   0.544504   -2.639988
43.311656   0.546976   -2.620316
43.401701   0.549454   -2.600690
43.491746   0.551936   -2.581110
43.581791   0.554425   -2.561574
43.671836   0.556918   -2.542084
43.761881   0.559417   -2.522640
43.851926   0.561922   -2.503240
43.941971   0.564432   -2.483886
44.032016   0.566947   -2.464576
44.122061   0.569467   -2.445311
44.212106   0.571993   -2.426091
44.302151   0.574524   -2.406916
44.392196   0.577061   -2.387785
44.482241   0.579602   -2.368699
44.572286   0.582149   -2.349657
44.662331   0.584701   -2.330659
44.752376   0.587259   -2.311706
44.842421   0.589821   -2.292796
44.932466   0.592389   -2.273931
45.022511   0.594962   -2.255110
45.112556   0.597540   -2.236332
45.202601   0.600123   -2.217598
45.292646   0.602711   -2.198908
45.382691   0.605304   -2.180262
45.472736   0.607903   -2.161659
45.562781   0.610506   -2.143100
45.652826   0.613115   -2.124584
45.742871   0.615728   -2.106111
45.832916   0.618346   -2.087681
45.922962   0.620970   -2.069295
46.013007   0.623598   -2.050951
46.103052   0.626231   -2.032651
46.193097   0.628870   -2.014394
46.283142   0.631513   -1.996179
46.373187   0.634161   -1.978007
46.463232   0.636813   -1.959878
46.553277   0.639471   -1.941791
46.643322   0.642133   -1.923747
46.733367   0.644801   -1.905746
46.823412   0.647473   -1.887787
46.913457   0.650149   -1.869870
47.003502   0.652831   -1.851995
47.093547   0.655517   -1.834163
47.183592   0.658207   -1.816372
47.273637   0.660903   -1.798624
47.363682   0.663603   -1.780918
47.453727   0.666307   -1.763254
47.543772   0.669017   -1.745631
47.633817   0.671730   -1.728051
47.723862   0.674449   -1.710512
47.813907   0.677171   -1.693015
47.903952   0.679899   -1.675559
47.993997   0.682630   -1.658145
48.084042   0.685366   -1.640772
48.174087   0.688107   -1.623441
48.264132   0.690852   -1.606151
48.354177   0.693601   -1.588903
48.444222   0.696355   -1.571695
48.534267   0.699112   -1.554529
48.624312   0.701875   -1.537404
48.714357   0.704641   -1.520320
48.804402   0.707412   -1.503278
48.894447   0.710187   -1.486276
48.984492   0.712966   -1.469315
49.074537   0.715749   -1.452394
49.164582   0.718536   -1.435515
49.254627   0.721327   -1.418676
49.344672   0.724123   -1.401878
49.434717   0.726922   -1.385121
49.524762   0.729726   -1.368404
49.614807   0.732533   -1.351728
49.704852   0.735344   -1.335092
49.794897   0.738160   -1.318497
49.884942   0.740979   -1.301942
49.974988   0.743802   -1.285427
50.065033   0.746629   -1.268953
50.155078   0.749459   -1.252519
50.245123   0.752294   -1.236125
50.335168   0.755132   -1.219771
50.425213   0.757974   -1.203457
50.515258   0.760819   -1.187184
50.605303   0.763669   -1.170950
50.695348   0.766522   -1.154756
50.785393   0.769378   -1.138603
50.875438   0.772238   -1.122489
50.965483   0.775101   -1.106414
51.055528   0.777968   -1.090380
51.145573   0.780839   -1.074385
51.235618   0.783713   -1.058430
51.325663   0.786590   -1.042515
51.415708   0.789471   -1.026639
51.505753   0.792355   -1.010803
51.595798   0.795242   -0.995006
51.685843   0.798133   -0.979249
51.775888   0.801027   -0.963531
51.865933   0.803924   -0.947853
51.955978   0.806824   -0.932214
52.046023   0.809727   -0.916614
52.136068   0.812633   -0.901053
52.226113   0.815543   -0.885532
52.316158   0.818455   -0.870050
52.406203   0.821371   -0.854607
52.496248   0.824289   -0.839204
52.586293   0.827211   -0.823839
52.676338   0.830135   -0.808513
52.766383   0.833062   -0.793227
52.856428   0.835992   -0.777979
52.946473   0.838925   -0.762771
53.036518   0.841860   -0.747601
53.126563   0.844798   -0.732470
53.216608   0.847739   -0.717378
53.306653   0.850683   -0.702325
53.396698   0.853629   -0.687310
53.486743   0.856577   -0.672335
53.576788   0.859528   -0.657398
53.666833   0.862482   -0.642499
53.756878   0.865438   -0.627640
53.846923   0.868397   -0.612819
53.936969   0.871358   -0.598036
54.027014   0.874321   -0.583292
54.117059   0.877286   -0.568587
54.207104   0.880254   -0.553920
54.297149   0.883224   -0.539292
54.387194   0.886196   -0.524702
54.477239   0.889170   -0.510150
54.567284   0.892147   -0.495637
54.657329   0.895125   -0.481162
54.747374   0.898106   -0.466726
54.837419   0.901088   -0.452327
54.927464   0.904073   -0.437967
55.017509   0.907059   -0.423646
55.107554   0.910047   -0.409362
55.197599   0.913037   -0.395117
55.287644   0.916029   -0.380910
55.377689   0.919022   -0.366741
55.467734   0.922017   -0.352610
55.557779   0.925014   -0.338517
55.647824   0.928012   -0.324462
55.737869   0.931012   -0.310445
55.827914   0.934014   -0.296467
55.917959   0.937017   -0.282526
